,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
564,37,management,married,tertiary,no,2283,no,no,cellular,6,may,243,2,98,2,failure,yes
565,49,services,married,secondary,no,-301,yes,no,cellular,12,may,187,4,-1,0,unknown,no
566,44,technician,single,secondary,no,244,yes,no,cellular,12,aug,1735,4,-1,0,unknown,yes
567,37,management,married,tertiary,no,26,no,no,cellular,17,jun,151,7,62,4,failure,no
568,49,blue-collar,married,secondary,no,1730,yes,no,cellular,4,aug,605,2,92,4,success,yes
569,43,blue-collar,single,primary,no,0,no,no,unknown,9,may,71,3,-1,0,unknown,no
570,74,retired,married,tertiary,no,1843,no,no,cellular,15,sep,251,2,184,3,success,yes
571,23,student,single,secondary,no,1234,no,no,cellular,16,nov,250,1,-1,0,unknown,yes
572,22,student,single,secondary,no,2488,no,no,cellular,8,nov,449,2,38,10,other,yes
573,59,retired,divorced,tertiary,no,3444,no,no,cellular,6,feb,241,2,-1,0,unknown,yes
574,45,management,married,tertiary,no,0,yes,no,cellular,5,may,469,2,342,1,failure,no
575,39,self-employed,single,tertiary,no,426,no,no,unknown,18,jun,1029,1,-1,0,unknown,yes
576,43,management,single,tertiary,no,483,no,no,cellular,19,aug,950,6,-1,0,unknown,yes
577,52,entrepreneur,divorced,secondary,no,7,no,no,cellular,24,jul,150,5,-1,0,unknown,no
578,37,management,single,tertiary,no,0,no,no,cellular,7,jul,643,3,-1,0,unknown,no
579,35,blue-collar,married,secondary,no,120,yes,no,unknown,28,may,245,2,-1,0,unknown,no
580,42,admin.,married,secondary,no,281,yes,no,unknown,15,may,118,1,-1,0,unknown,no
581,60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443,1,350,1,failure,no
582,42,services,married,secondary,no,115,yes,yes,cellular,17,apr,161,1,149,2,failure,no
583,36,self-employed,single,tertiary,no,3560,no,no,unknown,2,jun,409,2,-1,0,unknown,no
584,43,technician,divorced,secondary,no,-36,yes,no,cellular,17,nov,190,1,104,1,failure,no
585,39,admin.,single,secondary,no,2854,yes,no,unknown,2,jun,64,1,-1,0,unknown,no
586,30,services,single,tertiary,no,1788,no,no,cellular,4,aug,288,1,181,2,failure,yes
587,33,technician,married,secondary,no,183,no,no,cellular,16,jul,457,2,182,3,other,yes
588,36,management,married,tertiary,no,3770,yes,no,cellular,31,jul,150,4,-1,0,unknown,no
589,38,management,single,tertiary,no,427,yes,no,cellular,18,nov,253,1,182,1,failure,no
590,46,housemaid,married,primary,no,312,yes,yes,cellular,25,jul,137,7,-1,0,unknown,no
591,51,admin.,married,primary,no,1330,yes,no,unknown,15,may,415,8,-1,0,unknown,no
592,32,management,single,tertiary,no,4291,no,no,cellular,7,aug,1321,9,-1,0,unknown,yes
593,25,student,single,secondary,no,1957,no,no,cellular,24,jun,1207,4,385,1,failure,yes
594,54,technician,married,tertiary,no,876,no,no,cellular,27,oct,269,3,541,3,success,yes
595,44,technician,married,tertiary,no,1933,no,no,cellular,5,jun,462,1,-1,0,unknown,yes
596,33,blue-collar,single,primary,no,1,yes,no,cellular,20,apr,257,1,-1,0,unknown,no
597,42,unemployed,married,secondary,no,-165,yes,yes,unknown,27,may,179,3,-1,0,unknown,no
598,43,management,married,tertiary,no,1429,yes,no,cellular,19,nov,1015,1,198,2,other,yes
599,34,technician,single,tertiary,no,992,yes,no,cellular,5,feb,71,2,-1,0,unknown,yes
600,40,blue-collar,single,secondary,no,1066,yes,no,unknown,21,may,171,1,-1,0,unknown,no
601,43,technician,married,tertiary,no,591,yes,no,cellular,8,aug,889,2,-1,0,unknown,no
602,47,blue-collar,married,primary,no,304,yes,no,unknown,12,may,185,1,-1,0,unknown,no
603,46,admin.,married,secondary,no,517,yes,no,cellular,5,may,29,3,-1,0,unknown,no
604,30,management,single,secondary,no,186,yes,no,cellular,20,nov,235,3,-1,0,unknown,no
605,30,blue-collar,single,secondary,no,1165,yes,no,cellular,18,may,365,2,-1,0,unknown,no
606,28,management,single,tertiary,no,3238,yes,no,unknown,19,may,7,1,-1,0,unknown,no
607,30,technician,single,secondary,no,853,no,no,cellular,29,oct,279,1,148,1,failure,yes
608,36,management,married,tertiary,no,495,no,no,cellular,12,mar,213,3,182,6,success,yes
609,67,management,married,secondary,no,1287,no,no,cellular,2,feb,511,1,-1,0,unknown,no
610,59,retired,married,secondary,no,163,no,no,cellular,24,jul,464,1,-1,0,unknown,no
611,30,blue-collar,married,secondary,no,282,yes,yes,unknown,23,may,148,2,-1,0,unknown,no
612,52,management,married,tertiary,no,499,no,no,cellular,6,aug,115,4,-1,0,unknown,no
613,52,blue-collar,married,primary,no,66653,no,no,cellular,14,aug,109,3,-1,0,unknown,no
614,35,technician,divorced,tertiary,no,0,yes,no,unknown,15,may,759,1,-1,0,unknown,no
615,57,entrepreneur,married,tertiary,no,958,no,no,unknown,6,jun,250,2,-1,0,unknown,no
616,36,services,married,secondary,no,145,yes,no,cellular,2,feb,109,1,252,2,other,no
617,33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,2,-1,0,unknown,yes
618,31,blue-collar,single,secondary,no,609,yes,no,cellular,14,apr,1126,1,335,1,failure,no
619,28,management,single,tertiary,no,1086,yes,no,unknown,29,may,128,2,-1,0,unknown,no
620,55,technician,married,secondary,no,570,no,no,cellular,27,aug,94,6,-1,0,unknown,no
621,38,management,married,tertiary,no,5432,yes,yes,cellular,17,apr,707,1,149,2,failure,no
622,32,services,married,secondary,no,289,yes,no,cellular,2,feb,63,1,257,2,failure,no
623,54,technician,divorced,secondary,no,2156,yes,no,cellular,30,apr,258,1,86,5,success,yes
624,26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure,no
625,31,unemployed,single,tertiary,no,1489,yes,no,cellular,3,feb,678,1,-1,0,unknown,no
626,53,technician,married,secondary,no,195,yes,no,cellular,19,may,472,1,90,6,success,yes
627,28,admin.,married,secondary,no,1595,no,no,cellular,9,sep,268,1,254,4,success,yes
628,49,management,single,tertiary,no,151,yes,no,cellular,8,jul,97,3,-1,0,unknown,yes
629,58,entrepreneur,married,tertiary,no,2920,yes,no,unknown,9,jun,136,1,-1,0,unknown,no
630,57,retired,married,primary,no,318,no,no,cellular,22,aug,371,4,-1,0,unknown,no
631,53,admin.,married,primary,no,228,yes,no,unknown,16,may,97,1,-1,0,unknown,no
632,30,self-employed,married,tertiary,no,543,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,yes
633,40,services,married,secondary,no,1305,no,no,cellular,22,jul,255,1,-1,0,unknown,no
634,30,blue-collar,single,secondary,no,315,no,no,cellular,23,jun,1407,1,-1,0,unknown,yes
635,33,admin.,single,secondary,no,315,yes,yes,cellular,14,may,888,3,-1,0,unknown,yes
636,37,management,single,tertiary,no,1449,no,no,unknown,3,jun,291,1,-1,0,unknown,no
637,42,blue-collar,married,secondary,no,1468,yes,no,unknown,28,may,136,1,-1,0,unknown,no
638,37,management,married,tertiary,no,21,yes,no,unknown,29,may,52,2,-1,0,unknown,no
639,54,management,married,secondary,no,0,no,no,cellular,19,nov,106,1,-1,0,unknown,no
640,23,student,single,secondary,no,1298,no,no,cellular,14,jul,603,1,-1,0,unknown,yes
641,33,technician,single,tertiary,no,258,no,no,cellular,12,mar,80,4,-1,0,unknown,yes
642,40,services,married,secondary,no,0,yes,no,cellular,2,jun,297,1,28,3,failure,no
643,46,management,divorced,tertiary,no,624,no,no,cellular,18,mar,420,1,276,1,other,yes
644,39,blue-collar,married,secondary,no,3832,yes,no,unknown,20,jun,14,13,-1,0,unknown,no
645,48,technician,married,secondary,no,862,no,no,cellular,30,jul,160,2,-1,0,unknown,no
646,34,blue-collar,married,primary,no,3527,yes,no,cellular,21,nov,1022,1,-1,0,unknown,yes
647,28,services,married,secondary,no,4,yes,no,unknown,27,jun,133,5,-1,0,unknown,no
648,50,admin.,married,secondary,no,1138,yes,yes,cellular,31,jul,73,8,-1,0,unknown,no
649,77,retired,married,tertiary,no,699,no,no,cellular,13,aug,425,2,-1,0,unknown,yes
650,52,management,married,tertiary,no,7135,no,no,cellular,19,aug,1032,3,-1,0,unknown,yes
651,29,admin.,single,tertiary,no,514,no,no,cellular,2,feb,270,1,-1,0,unknown,no
652,35,technician,single,tertiary,no,2453,yes,no,cellular,13,aug,119,2,-1,0,unknown,no
653,46,admin.,single,secondary,no,596,yes,no,cellular,20,apr,138,3,-1,0,unknown,no
654,55,management,divorced,primary,no,3629,yes,no,unknown,30,may,87,1,-1,0,unknown,no
655,41,blue-collar,married,primary,no,1461,yes,no,unknown,6,jun,554,2,-1,0,unknown,yes
656,31,admin.,single,secondary,no,410,no,no,cellular,25,oct,182,1,185,1,success,yes
657,50,unemployed,divorced,unknown,no,1088,no,no,cellular,2,feb,749,1,-1,0,unknown,yes
658,26,services,single,secondary,no,136,no,no,cellular,20,apr,120,1,-1,0,unknown,yes
659,37,admin.,single,secondary,no,245,yes,yes,unknown,7,may,732,2,-1,0,unknown,yes
660,26,blue-collar,single,secondary,no,972,yes,no,unknown,20,may,177,10,-1,0,unknown,no
661,26,blue-collar,married,secondary,no,557,yes,yes,unknown,27,may,282,2,-1,0,unknown,no
662,26,technician,single,tertiary,no,11862,no,no,cellular,13,feb,119,1,-1,0,unknown,yes
663,33,management,married,tertiary,no,644,no,no,cellular,11,aug,99,2,-1,0,unknown,no
664,41,management,married,tertiary,no,298,no,no,cellular,4,may,63,3,272,1,other,no
665,33,blue-collar,single,unknown,no,129,yes,yes,cellular,30,apr,482,1,161,1,failure,yes
666,35,management,single,tertiary,no,681,no,no,cellular,18,feb,737,1,561,2,success,yes
667,35,management,married,tertiary,no,750,yes,no,cellular,18,aug,233,12,-1,0,unknown,no
668,35,self-employed,married,secondary,no,28,no,yes,unknown,2,jul,159,3,-1,0,unknown,no
669,60,technician,married,secondary,no,1740,no,no,cellular,13,mar,296,2,-1,0,unknown,yes
670,44,management,single,tertiary,no,709,yes,no,cellular,19,nov,54,1,-1,0,unknown,no
671,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
672,57,entrepreneur,married,unknown,no,975,yes,yes,cellular,22,jul,236,4,-1,0,unknown,no
673,24,student,single,unknown,no,782,no,no,cellular,4,may,12,7,91,1,other,no
674,44,blue-collar,married,secondary,no,1397,no,no,cellular,20,nov,326,1,-1,0,unknown,no
675,49,management,married,tertiary,no,342,no,no,cellular,30,jan,433,2,228,1,failure,no
676,31,unemployed,single,secondary,no,209,yes,no,cellular,6,may,193,1,-1,0,unknown,no
677,37,technician,married,secondary,no,494,yes,no,cellular,2,feb,247,2,269,3,failure,no
678,42,management,divorced,secondary,no,-272,no,no,cellular,8,jul,186,1,-1,0,unknown,no
679,54,self-employed,married,secondary,no,203,yes,no,telephone,7,jul,238,8,-1,0,unknown,no
680,43,management,single,tertiary,no,1304,no,no,cellular,6,aug,501,2,-1,0,unknown,yes
681,36,technician,married,secondary,no,3579,no,no,cellular,14,aug,308,2,-1,0,unknown,no
682,26,admin.,single,secondary,no,1327,no,no,cellular,30,mar,171,4,-1,0,unknown,no
683,40,blue-collar,married,primary,no,7831,yes,no,unknown,14,may,78,1,-1,0,unknown,no
684,43,blue-collar,married,primary,no,0,yes,no,unknown,12,may,3,1,-1,0,unknown,no
685,24,blue-collar,single,secondary,no,1,yes,no,cellular,11,may,79,2,-1,0,unknown,no
686,49,services,married,secondary,no,1377,yes,no,unknown,7,may,1101,1,-1,0,unknown,no
687,39,technician,married,tertiary,no,206,no,no,cellular,20,oct,148,2,195,2,success,yes
688,56,blue-collar,married,primary,no,551,no,no,unknown,29,may,27,1,-1,0,unknown,no
689,77,retired,married,secondary,no,638,no,no,cellular,11,feb,288,1,188,1,success,yes
690,58,services,married,primary,no,65,no,no,unknown,27,jun,162,1,-1,0,unknown,no
691,30,self-employed,single,tertiary,no,3343,no,no,cellular,1,jun,235,1,-1,0,unknown,yes
692,30,blue-collar,single,secondary,no,7773,yes,no,cellular,20,nov,705,1,-1,0,unknown,yes
693,31,blue-collar,married,secondary,no,136,no,no,cellular,12,may,228,2,267,1,failure,yes
694,36,blue-collar,married,primary,no,-20,yes,no,unknown,7,may,353,3,-1,0,unknown,no
695,44,admin.,divorced,primary,no,429,yes,no,telephone,23,oct,80,1,-1,0,unknown,yes
696,73,retired,married,tertiary,no,448,no,no,cellular,24,mar,136,1,-1,0,unknown,yes
697,37,management,single,tertiary,no,72,yes,yes,cellular,20,apr,885,5,150,7,failure,yes
698,52,management,married,tertiary,no,3634,no,no,cellular,8,feb,341,8,-1,0,unknown,yes
699,39,admin.,married,secondary,no,732,no,no,cellular,23,apr,522,4,-1,0,unknown,yes
700,39,technician,married,secondary,no,130,no,no,cellular,8,jul,202,2,-1,0,unknown,no
701,39,management,single,tertiary,no,5047,no,no,cellular,29,apr,218,4,-1,0,unknown,yes
702,41,technician,single,secondary,no,769,no,yes,cellular,20,nov,222,4,98,4,other,no
703,50,technician,married,secondary,no,1838,yes,yes,cellular,13,aug,221,8,-1,0,unknown,no
704,31,blue-collar,single,secondary,no,573,yes,no,telephone,5,feb,58,1,269,2,failure,no
705,59,retired,married,tertiary,no,422,yes,no,cellular,14,may,647,4,-1,0,unknown,yes
706,28,blue-collar,single,secondary,no,97,yes,no,unknown,7,may,67,1,-1,0,unknown,no
707,39,admin.,married,secondary,no,1577,yes,no,unknown,4,jun,282,15,-1,0,unknown,no
708,59,retired,married,secondary,no,2291,no,yes,cellular,14,jul,127,3,-1,0,unknown,no
709,74,retired,married,tertiary,no,1843,no,no,cellular,15,mar,192,1,185,2,success,yes
710,57,retired,married,primary,no,333,no,no,unknown,22,aug,336,2,-1,0,unknown,no
711,36,unemployed,single,secondary,no,115,no,no,cellular,9,feb,71,2,-1,0,unknown,no
712,30,blue-collar,single,primary,no,0,no,no,cellular,15,jul,716,3,-1,0,unknown,yes
713,36,blue-collar,married,primary,no,319,yes,no,cellular,13,may,774,2,301,1,failure,yes
714,28,student,single,secondary,no,1377,yes,no,cellular,14,may,688,2,-1,0,unknown,yes
715,36,management,single,tertiary,no,876,yes,no,unknown,23,may,241,2,-1,0,unknown,no
716,50,self-employed,divorced,tertiary,no,13,yes,no,cellular,20,apr,76,1,-1,0,unknown,yes
717,35,technician,single,secondary,no,183,no,no,cellular,23,oct,281,1,52,4,failure,yes
718,47,management,married,unknown,no,1128,no,no,cellular,28,jan,65,2,-1,0,unknown,no
719,38,admin.,married,secondary,no,1559,no,no,cellular,3,mar,136,2,280,1,failure,yes
720,36,admin.,married,secondary,no,212,yes,yes,cellular,23,jul,1201,6,-1,0,unknown,yes
721,43,management,divorced,tertiary,no,36,no,no,cellular,13,feb,61,1,193,1,failure,no
722,29,management,single,tertiary,no,1218,no,no,cellular,30,jan,258,2,-1,0,unknown,no
723,32,technician,single,tertiary,no,569,no,yes,cellular,29,jan,348,1,-1,0,unknown,no
724,31,unemployed,single,tertiary,no,302,no,no,cellular,3,feb,349,1,357,3,success,yes
725,49,entrepreneur,married,secondary,no,89,yes,no,cellular,12,may,351,1,-1,0,unknown,no
726,29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes
727,60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes
728,55,management,married,unknown,no,1504,yes,no,cellular,22,may,338,2,-1,0,unknown,yes
729,55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221,2,-1,0,unknown,no
730,67,retired,married,primary,no,1430,no,no,cellular,11,jan,499,2,91,3,failure,yes
731,34,technician,single,tertiary,no,2733,no,no,cellular,14,jul,604,1,-1,0,unknown,yes
732,26,student,single,secondary,no,502,yes,no,telephone,7,may,82,1,-1,0,unknown,no
733,39,management,married,tertiary,no,-233,yes,no,cellular,19,nov,249,1,-1,0,unknown,no
734,33,management,married,tertiary,no,516,yes,no,cellular,19,nov,245,4,-1,0,unknown,no
735,35,technician,single,secondary,no,16,yes,no,cellular,8,apr,903,1,-1,0,unknown,yes
736,33,management,single,tertiary,no,2485,yes,no,cellular,2,nov,91,2,-1,0,unknown,no
737,26,admin.,single,secondary,no,-326,yes,no,unknown,19,may,128,3,-1,0,unknown,no
738,27,blue-collar,married,secondary,no,4333,no,no,cellular,20,apr,163,1,-1,0,unknown,yes
739,31,admin.,single,secondary,no,0,no,no,cellular,17,apr,188,3,-1,0,unknown,yes
740,34,technician,single,secondary,no,1313,no,no,cellular,19,apr,237,4,-1,0,unknown,no
741,36,admin.,single,secondary,no,449,yes,no,unknown,20,jun,136,3,-1,0,unknown,no
742,39,services,married,secondary,no,25,yes,yes,cellular,12,may,658,1,351,3,failure,yes
743,55,management,divorced,tertiary,no,0,no,no,cellular,18,aug,309,4,-1,0,unknown,yes
744,28,admin.,single,tertiary,no,373,yes,no,cellular,4,feb,126,1,-1,0,unknown,no
745,31,admin.,single,secondary,no,131,yes,no,cellular,15,jun,151,1,-1,0,unknown,yes
746,22,services,single,secondary,no,129,no,no,cellular,16,oct,258,1,-1,0,unknown,yes
747,43,entrepreneur,married,secondary,no,104,yes,no,cellular,18,jul,635,3,-1,0,unknown,yes
748,53,blue-collar,married,secondary,no,25,no,no,cellular,22,aug,528,2,-1,0,unknown,yes
749,49,services,married,secondary,no,7019,yes,no,cellular,2,jun,263,1,368,3,failure,yes
750,42,management,single,tertiary,no,525,no,no,cellular,13,aug,127,2,-1,0,unknown,no
751,31,admin.,single,secondary,no,19,yes,no,cellular,18,nov,1978,1,-1,0,unknown,yes
752,32,management,single,tertiary,no,1742,no,no,unknown,5,jun,231,2,-1,0,unknown,no
753,23,technician,single,secondary,no,356,yes,no,cellular,18,may,224,2,356,2,failure,no
754,33,services,single,unknown,no,2297,no,no,cellular,27,jul,527,1,-1,0,unknown,yes
755,50,blue-collar,married,primary,no,565,yes,yes,cellular,28,aug,36,3,-1,0,unknown,no
756,28,admin.,single,secondary,no,261,yes,yes,cellular,9,sep,259,2,98,4,success,yes
757,32,management,divorced,tertiary,no,787,yes,no,cellular,11,aug,72,2,-1,0,unknown,no
758,48,admin.,married,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no
759,53,services,married,unknown,no,257,yes,no,unknown,5,may,209,2,-1,0,unknown,no
760,37,technician,married,secondary,no,1458,no,no,cellular,30,apr,281,1,-1,0,unknown,yes
761,48,unemployed,married,primary,no,608,no,no,cellular,30,jul,362,2,-1,0,unknown,no
762,52,blue-collar,married,primary,no,117,no,yes,cellular,24,jul,164,2,-1,0,unknown,no
763,45,admin.,married,secondary,no,236,no,no,cellular,20,aug,703,2,-1,0,unknown,yes
764,30,technician,single,secondary,no,925,no,no,cellular,20,nov,240,1,-1,0,unknown,no
765,53,retired,married,secondary,no,1296,yes,no,unknown,17,jun,115,1,-1,0,unknown,no
766,48,management,married,tertiary,no,7867,yes,yes,unknown,30,may,306,3,-1,0,unknown,no
767,41,technician,married,secondary,no,-329,no,no,telephone,5,feb,13,8,238,9,other,no
768,50,management,married,tertiary,yes,72,no,no,cellular,22,aug,171,13,-1,0,unknown,no
769,30,admin.,single,secondary,no,98,yes,no,cellular,23,jul,100,5,-1,0,unknown,no
770,28,admin.,divorced,secondary,no,-504,yes,yes,cellular,14,may,578,1,-1,0,unknown,yes
771,39,technician,single,secondary,no,1685,yes,no,cellular,8,may,319,1,368,1,failure,no
772,60,retired,married,primary,no,1588,no,no,cellular,6,oct,728,1,-1,0,unknown,yes
773,36,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,may,450,2,304,2,success,no
774,32,blue-collar,married,secondary,no,2263,no,no,cellular,7,may,113,2,-1,0,unknown,no
775,49,housemaid,married,primary,no,78,no,no,telephone,10,jul,139,1,-1,0,unknown,no
776,23,self-employed,single,tertiary,no,780,no,no,cellular,16,sep,393,1,183,3,success,yes
777,53,management,married,tertiary,no,1356,yes,no,cellular,5,aug,397,2,93,2,failure,no
778,28,admin.,single,secondary,no,0,yes,yes,cellular,18,may,390,5,-1,0,unknown,yes
779,36,management,divorced,tertiary,no,649,no,no,cellular,16,jul,237,2,91,1,failure,no
780,33,technician,married,tertiary,no,1699,no,no,cellular,28,jan,202,1,83,3,success,yes
781,42,admin.,single,secondary,no,1022,yes,no,unknown,5,may,146,2,-1,0,unknown,no
782,54,technician,married,secondary,no,1938,no,yes,cellular,28,jul,551,3,-1,0,unknown,yes
783,32,technician,single,secondary,no,29,no,no,cellular,19,aug,156,2,-1,0,unknown,no
784,51,technician,married,tertiary,no,0,no,no,cellular,2,mar,539,2,-1,0,unknown,yes
785,53,blue-collar,divorced,primary,no,4222,no,no,unknown,9,jun,112,1,-1,0,unknown,no
786,61,retired,divorced,secondary,no,927,no,no,cellular,30,apr,427,3,-1,0,unknown,yes
787,65,retired,married,primary,no,3629,no,no,cellular,27,apr,148,1,-1,0,unknown,yes
788,28,management,single,tertiary,no,6551,no,no,cellular,23,sep,203,1,-1,0,unknown,yes
789,72,retired,married,secondary,no,2850,no,no,cellular,16,oct,131,2,241,1,success,no
790,34,admin.,single,secondary,no,1352,yes,no,cellular,20,apr,126,1,334,3,other,no
791,30,blue-collar,single,primary,no,185,no,no,unknown,26,jun,11,1,-1,0,unknown,no
792,33,blue-collar,single,secondary,no,45,no,no,unknown,20,jun,13,12,-1,0,unknown,no
793,33,blue-collar,single,secondary,no,329,no,no,cellular,6,sep,224,1,145,2,other,yes
794,34,admin.,married,tertiary,no,788,yes,no,cellular,5,feb,269,1,-1,0,unknown,no
795,25,admin.,single,secondary,no,184,no,yes,telephone,11,jul,437,7,-1,0,unknown,no
796,38,entrepreneur,married,tertiary,no,0,no,no,cellular,23,jul,532,2,-1,0,unknown,yes
797,50,management,married,tertiary,no,346,no,no,cellular,6,feb,178,1,-1,0,unknown,yes
798,32,blue-collar,married,primary,no,415,yes,no,unknown,2,jun,777,4,-1,0,unknown,yes
799,28,management,married,tertiary,no,258,no,yes,cellular,17,apr,93,1,-1,0,unknown,no
800,28,technician,single,secondary,no,2000,no,no,telephone,3,feb,226,2,-1,0,unknown,no
801,69,retired,married,secondary,no,2473,no,no,cellular,8,jul,967,3,-1,0,unknown,yes
802,58,management,married,tertiary,no,0,no,no,cellular,14,sep,358,2,-1,0,unknown,yes
803,52,management,married,tertiary,no,388,no,no,cellular,25,may,272,1,-1,0,unknown,yes
804,33,blue-collar,married,secondary,no,1464,yes,no,unknown,23,may,588,3,-1,0,unknown,yes
805,28,blue-collar,single,secondary,no,517,no,yes,cellular,8,jul,681,1,-1,0,unknown,yes
806,26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,70,3,failure,yes
807,25,technician,single,secondary,no,7103,yes,no,cellular,28,may,188,3,10,1,failure,yes
808,47,blue-collar,married,secondary,no,3696,yes,no,cellular,19,nov,635,3,170,2,failure,no
809,30,blue-collar,single,tertiary,no,297,no,no,cellular,7,apr,465,4,-1,0,unknown,yes
810,35,technician,married,tertiary,no,703,no,no,cellular,20,apr,169,1,-1,0,unknown,no
811,28,blue-collar,married,secondary,no,1137,no,no,cellular,6,feb,129,4,211,3,other,no
812,51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,1,-1,0,unknown,yes
813,29,technician,single,secondary,no,1165,no,no,cellular,2,jun,245,1,-1,0,unknown,yes
814,57,self-employed,married,secondary,no,11494,no,no,cellular,19,nov,198,1,-1,0,unknown,no
815,34,management,married,tertiary,no,580,yes,no,cellular,10,jul,380,1,-1,0,unknown,no
816,38,technician,married,tertiary,no,206,no,no,cellular,8,apr,350,2,-1,0,unknown,yes
817,60,retired,married,primary,no,414,no,no,unknown,8,may,395,1,-1,0,unknown,no
818,38,unemployed,married,secondary,no,995,no,no,unknown,26,jul,84,1,-1,0,unknown,no
819,26,student,single,secondary,no,864,yes,no,cellular,15,may,659,1,-1,0,unknown,yes
820,37,management,single,tertiary,no,10269,yes,no,cellular,18,may,28,2,-1,0,unknown,no
821,43,admin.,married,secondary,yes,-204,yes,no,unknown,26,may,163,2,-1,0,unknown,no
822,42,blue-collar,married,primary,no,1556,no,yes,cellular,8,jul,113,1,-1,0,unknown,no
823,34,management,single,tertiary,no,48,yes,no,cellular,12,aug,810,3,93,6,failure,yes
824,33,entrepreneur,single,secondary,no,278,no,no,cellular,1,feb,563,5,-1,0,unknown,yes
825,31,student,single,tertiary,no,307,no,no,cellular,20,nov,597,2,-1,0,unknown,no
826,34,technician,single,tertiary,no,1039,no,no,cellular,11,aug,342,3,-1,0,unknown,no
827,27,management,single,tertiary,no,-69,yes,no,cellular,15,feb,205,3,-1,0,unknown,yes
828,38,management,married,unknown,no,3576,no,no,cellular,26,may,579,1,-1,0,unknown,yes
829,35,technician,single,secondary,no,1001,no,yes,cellular,24,jul,178,2,-1,0,unknown,no
830,32,technician,married,secondary,no,560,no,no,cellular,6,aug,1044,4,-1,0,unknown,yes
831,39,management,married,tertiary,no,0,no,no,cellular,30,apr,342,3,22,3,other,yes
832,79,retired,married,primary,no,8556,no,no,telephone,18,jan,326,2,272,2,success,yes
833,24,management,married,secondary,no,2278,yes,no,unknown,27,may,77,4,-1,0,unknown,no
834,35,blue-collar,married,primary,no,51,yes,no,unknown,28,may,593,2,-1,0,unknown,no
835,37,blue-collar,married,secondary,no,454,yes,no,unknown,12,may,115,1,-1,0,unknown,no
836,52,blue-collar,divorced,primary,no,196,yes,no,unknown,7,may,119,3,-1,0,unknown,no
837,73,retired,married,unknown,no,519,no,no,telephone,26,feb,270,3,133,2,success,yes
838,42,management,married,tertiary,no,199,yes,no,cellular,9,jul,497,1,-1,0,unknown,no
839,50,management,married,tertiary,no,469,no,no,cellular,16,apr,161,1,-1,0,unknown,yes
840,37,admin.,married,secondary,no,529,yes,no,cellular,16,sep,234,1,149,2,other,no
841,32,technician,married,tertiary,no,514,yes,no,unknown,20,may,414,2,-1,0,unknown,no
842,32,services,married,secondary,no,1398,yes,yes,cellular,15,may,233,1,-1,0,unknown,no
843,57,services,divorced,primary,no,1367,no,no,unknown,9,jun,144,3,-1,0,unknown,no
844,66,retired,married,tertiary,no,1948,no,no,cellular,28,jan,216,1,91,4,success,yes
845,47,technician,married,secondary,no,19,yes,no,unknown,6,may,105,2,-1,0,unknown,no
846,59,retired,married,primary,no,0,no,no,cellular,5,jun,493,2,-1,0,unknown,yes
847,33,services,married,secondary,no,227,yes,yes,cellular,13,aug,477,2,-1,0,unknown,yes
848,33,blue-collar,married,primary,no,934,yes,no,unknown,4,jun,244,2,-1,0,unknown,no
849,50,technician,divorced,secondary,no,0,no,no,cellular,1,apr,280,1,184,3,success,yes
850,24,student,single,secondary,no,125,no,no,cellular,9,nov,263,1,90,1,failure,yes
851,39,technician,single,secondary,no,15,yes,no,cellular,30,apr,510,1,-1,0,unknown,yes
852,29,management,single,tertiary,no,600,yes,no,cellular,18,oct,170,5,-1,0,unknown,no
853,58,retired,married,secondary,no,-324,yes,no,cellular,7,may,229,2,-1,0,unknown,no
854,35,self-employed,married,secondary,no,5613,yes,no,cellular,28,jul,699,3,-1,0,unknown,yes
855,45,housemaid,divorced,primary,no,221,no,no,cellular,2,feb,93,1,235,1,failure,no
856,36,technician,single,secondary,no,376,no,no,cellular,13,aug,479,1,-1,0,unknown,yes
857,38,self-employed,married,tertiary,no,2084,yes,no,cellular,16,apr,71,2,330,2,failure,no
858,49,management,married,tertiary,no,7007,no,no,cellular,17,nov,325,2,-1,0,unknown,no
859,45,management,single,tertiary,no,2048,yes,no,cellular,18,oct,310,1,804,1,failure,yes
860,28,admin.,single,secondary,no,762,no,no,cellular,18,sep,115,3,-1,0,unknown,yes
861,51,blue-collar,married,tertiary,no,2404,yes,no,telephone,20,nov,30,1,-1,0,unknown,no
862,51,management,married,tertiary,no,-15,no,no,cellular,25,jul,212,2,-1,0,unknown,no
